plate,review_reason_code,customer_meaning,reviewer_comments,status,our decision,notes
BTCNBLK,3,NICKNAME FOR CAR,BITCHIN BLACK,N,Y,Approved
GAZ1969,7,NO MICRO,NO 1969 VEHICLE,N,Y,Approved
HILDA14,2,NO MICRO,14-HITLER,N,Y,Approved
FUNKLFE,3,A TYPE OF MUSIC THAT ONE HAS GROWN UP WITH AND STILL FOLLOWS,LOOKS LIKE FUCK LIFE,Y,N,contains the restricted letter combinationFUN
GABECAT,1,GABRIEL CATHY,"NO VEHICLE SHOWN IN ANI FOR HELLCAT, OR JAG ETC",N,Y,Approved
HEMICYD,2,,LOOKS LIKE HOMICIDE,N,Y,Approved
HIGHBOI,2,,LOOKS LIKE HIGH AS IN ON DRUGS,N,Y,Approved
N5A1BOT,2,VIDEO GAME REFERENCE,510 AREA CODE,N,Y,Approved
OUTHOUS,2,OUT HOUSE - FOR RV,AN OUT HOUSE IS USED FOR USING THE RESTROOM,Y,N,ho
SAABNUT,1,CRAZZY ABOUT SAAB BRAND CARS,SAAB NUT.. SAAB IS A CAR NUT CAN BE SEXUAL OR CAN MEAN CRAZY,N,Y,Approved
1DOPE S5,2,ITS A COOL AUDI S5,DOPE COULD MEAN NICE OR BE A DRUG REFERENCE,Y,N,invalid length
4O8RD8R,2,THE LICENSE PLATE SIGNIFIES MY HOMETOWN SAN JOSE AND MY FAVORITE NFL TEAM THE RAIDERS.,408 RAIDER,N,Y,Approved
5HUNWYS,2,500 WAYS,500 HUNDRED WAYS,Y,N,hun
7O7 PLUS,2,707 HORSEPOWER PLUS A LITTLE MORE,707 AREA CODE,Y,N,invalid length
GAYMUR,4,AM A GAY MAN WHO LOVES PLAYING VIDEO GAMES (GAY GAYMER),LOOKS LIKE HE IS SAYING GAMER BUT HE IS USING GAY.. COULD BE TAKEN OFFENSIVLY,Y,N,contains the restricted letter combinationGAY
$R TOES,1,LOVE HER TOES,LOVE HER TOES,Y,N,invalid characters
HDST76O,2,HIGH DESERT 760,760 AREA CODE,N,Y,Approved
H8TZRS,2,HATE TEASERS,H8 LOOKS LIKE HATE,N,Y,Approved
PLBY73,1,PLAYBOY EMPLOYEE HIRED IN 1973,"PLAYBOY… PLAYBOY IS A SEX MAGAZINE HOWEVER THE ""PLAYBOY"" HAS A RETENTION RECORD",N,Y,Approved
IYAOYAS,4,"IF YOU AIN'T ORDNANCE, YOU AIN'T SPECIAL. (IT'S A USMC ACRONYM.)",IF YOU AINT ORDINANCE YOU AINT SHIT.. A MILITARY TERM,N,Y,Approved
LJEFFE,2,NICKNAME FOR VEHICLE,EL JEFE THE BOSS,N,Y,Approved
PULLN 14,2,,14 CUSTOMER DOES HAVE A 2014 GMC,Y,N,invalid length
SHAFFED,1,"MY LAST NAME AND I LIKE TO DO MY OWN CAR WORK AND WORK ON OTHERS CARS ""YOU GOT SHAFFED""","CUSTOMER LAST NAME IS SHAFFER, BUT SHAFT IS ANOTHER WORD FOR PENIS",N,Y,Approved
SHZAKLA,2,SHEZAKILLA,SHE'S A KILLA,N,Y,Approved
2 BLUE IZ,2,TO BLUE EYES,BLUE,Y,N,invalid length
AKK47,2,"MY INITIALS PLUS MY TWO LUCKY NUMBERS, WHICH HAPPEN TO SOUND LIKE A NICE GUN I LIKE.",LOOKS LIKE AK 47 AS IN GUN,N,Y,Approved
AO2M96,,,LOOKS LIKE OLD AUTO,N,Y,Approved
DGAFLOL,2,I WORK WITH DEGAFFREY'S LAW ASSOCIATE,DON’T GIVA A FUCK LAUGH OUT LOUD,N,Y,Approved
TERCA88,4,IT MEANS STUBBORN AND THE YEAR I WAS BORN,88 HITLER REFERENCE,N,Y,Approved
THUGLYG,2,,THE UGLY F.. NOT SURE WHAT THE F MEANS,N,Y,Approved
WSIXVTY,4,,LOOKS LIKE 650 AREA CODE,N,Y,Approved
8DIAZ13,4,DIAZ IS MY LAST NAME AND THE NUMBERS ARE THE BIRTH DATES OF MY KIDS,13 GANG REFERENCE,N,Y,Approved
88JOY88,4,8 IS ONE OF MY FAVORITE/LUCKY NUMBERS AND JOY IS MY NAME,HITLER REFERENCE,N,Y,Approved
HYDR,2,HYDRO,HYDR HYDRAULICS OR HYDROPONICS,N,Y,Approved
BYTE ME2,2,"BYTE ME TWO, MATCHING SPOUSE'S PLATES",BITE ME TOO,Y,N,invalid length
GTSGTFO,3,GLOBAL TECHNOLOGY SOLUTIONS GROUP FINANCE OFFICER,GTFO GET THE FUCK  OUT,N,Y,Approved
ISISCAR,2,,ISIS CAR,N,Y,Approved
CHRG4PS,1,CHARGE FOR PEACE,LOOKS LIKE CHARGE FOR PS… NOT SURE WHAT PS MEANS,N,Y,Approved
BLK88BZ,2,NICKNAME AND BIRTH YEAR,88-HITLER. BIRTH YEAR VERIFIED AS '88,N,Y,Approved
BUIOO13,2,NO MEANING,13-GANG,N,Y,Approved
IBD88,2,MY INITIALS AND LUCKY YEAR,88-HITLER. INITIALS VERIFIED,N,Y,Approved
PDCC42O,7,NO MICRO,420- WEED,N,Y,Approved
87O,7,HISTORIC DATE,A TYPE OF REMINGTON GUN,N,Y,Approved
BDAZTKR,3,ONE GREAT TRUCK DRIVER,BADASS TRUCKER,N,Y,Approved
S14 BLK,2,NO MICRO,14-HITLER,Y,N,invalid characters
88 CAB,2,1988 PORSCHE CABRIOLET,88-HITLER. HAS AN '88 PORSCHE,Y,N,invalid characters
AENIMA,3,THE ROCK BAND TOOL'S SECOND ALBUM TITLE  FROM 1996,CUSTOMER MEANING IS TRUE BUT LOOKS AND SOUNDS LIKE ENEMA,N,Y,Approved
AMFZB24,3,"IT'S MY NAME, JASON, ENCODED TO BASE64. I JUST WANT THE BLACK AND YELLOW PLATE SO THAT'S WHAT I CAME UP WITH.",AMF=ADIOS MOTHERFUCKER,N,Y,Approved
BJS4DDS,1,MY INITIALS AND MY WIFE INITIALS,BLOW JOBS FOR DENTAL WORK… CUSTOMER IS BRIAN J SAMUELS,N,Y,Approved
BLU PNY,2,BLUE PONY,BLUE=GANG COLOR. HAS 2016 FORD,Y,N,invalid characters
BMFN42O,3,BEST MUSTANG FORD 420 HORSE POWER,"MOTHERFUCKING 420, HAS 2014 FORD",N,Y,Approved
CABIN 5O,5,OUR CABIN NUMBER FOR OUR HOUSE AT HUME  LAKE.,50=police,Y,N,invalid length
CAULGUY,1,PERSON IS BORN WITH A CAUL OR A VEIL. FACE IS COVERED BY PART OF WOMB.IT IS CONSIDERED GOOD LUCK OR VERY SPRITUAL.,CUSTOMER MEANING IS TRUE BUT SOUNDS LIKE 'CALL GUY'… CALL GIRL WOULD BE A PROSTITIUTE,N,Y,Approved
CICARIO,2,5XPP825,SICARIO MEANS HITMAN OR HIRED KILLER IN SPANISH,N,Y,Approved
CPSLO 13,2,"CAL POLY SAN LUIS OBISPO, GRADUATION 2013","13 CAN BE A GANG NUMBER, NO 2013 CAR",Y,N,invalid length
EAT CHIA,1,I AM DOING A RESEARCH ON CHIA SEEDS SO I  WANT TO PROMOTE IT,EAT,Y,N,invalid length
EVOWEVO,1,MEXICAN EGG,"WEVO=HUEVO, CAN MEAN EGG OR TESTICLE",N,Y,Approved
FNVADER,3,"""FUN VADER"" THIS IS MY TOY TRUCK, AND IT'S ALL BLACK AND LOOKS LIKE DARTH VADER",EFFIN VADER,N,Y,Approved
GASPASR,3,I AM A NURSE ANESTHETIST,"GAS PASSER, SHE PASSES GAS (FARTS)",N,Y,Approved
GETATME,1,PICK UP LINE FROM THE 2010'S,"GET AT ME, SEXUAL?",Y,N,"[('eatme', 83.33333333333334, 352)]"
GO G MEN,5,"GO GIANTS, G-MEN IS A NICKNAME FOR THE SAN FRANCISCO  GIANTS","G-MAN SHORT FOR GOVERNMENT MAN, MEANS AN FBI OR CIA AGENT",Y,N,invalid length
GURUJP,2,GURUJEEP IS MY JEEP'S NAME.,"JAP? NO JEEP ON ANI, HAS HONDA",N,Y,Approved
HELGRRR,3,THE NAME OF THE CAR,"pulled for Hell, no Hellcat. Has a VW",Y,N,contains the restricted letter combinationHEL
JCSTACO,1,JUAN CARLOS TACOMA,"has a toyota truck on ani, pulled for taco=pussy",N,Y,Approved
KUCH,1,NICK NAME FOR LAST NAME KUCERA,SOUNDS LIKE 'COOCH' WHICH IS SLANG FOR VAGINA,N,Y,Approved
MACTEP,1,NICKNAME,"MACTEP=RUSSIAN WORD FOR MASTER, DEFINITION ON URBAN DICTIONARY SOUNDS LIKE S&M TYPE MASTER",N,Y,Approved
MEVALE8,3?,"ME IS BASICALLY ME, VALE IS SHORT FOR VALEDICTION WHICH MEANS TO DEPART-FAREWELL. THE 8 REPRESENTS INFINITY",urban dictionary says 'me vale' means I don’t give a fuck. Google translates it as I do not care…,N,Y,Approved
MWAVEEY,3,NICKNAME,"URBAN DICTIONARY SAYS 'WAVEY' MEANS VERY DRUNK OR HIGH, OPPOSITE OF SOBER. 456 UP 194 DOWN",N,Y,Approved
M8H8S,2,MY INITIALS ARE MHS AND MY YEAR OF BIRTH IS 1988,hate,N,Y,Approved
NIJJAR1,2,ITS A SUR NAME,LOOKS LIKE 'N' WORD… IT IS A SURNAME BUT NOT THIS CUSTOMERS NAME ON 272. NIJJAR IS UNACCEPTABLE AND HER FIRST NAME IS NIJJARA.,N,Y,Approved
O16BCAT,1,2016 BLACK CAT,"PULLED FOR CAT, NO CAT CAR ON ANI. HAS A 2016 BMW",N,Y,Approved
PAKOMER,1,SOURCE OF FOOD (SPANISH WORDS),comer=eat,N,Y,Approved
PAYBVCK,2,PAYBACK,PAYBACK=AN ACT OF REVENGE OR RETALLIATION,N,Y,Approved
PNKMOPR,1,PINK MOTOR PARTS,PINK=VAGINA,N,Y,Approved
REDS 43,2,1943 JEEP,"HAS A 1943 JEEP, PULLED FOR RED--GANG COLOR",Y,N,invalid characters
SNL SKWD,1,THIS WAS THE NAME OF MY DADS RUNNING GROUP. HE PASSED AWAY RUNNING A MARATHON AND WANT THIS IN MEMORY OF HIM.,SCREWED,Y,N,invalid length
SOEZEEE,1,THINGS ARE EASY IF YOU WORK HARD,EASY CAN HAVE SEXUAL CONNOTATIONS,N,Y,Approved
SSHNTRR,2,MY CARS NICKNAME. SSHNTRR,"THREATENING, SS HUNTER",N,Y,Approved
ZZZ1969,1,YEAR OF CAR,no 69 car on ani,N,Y,Approved
1ARDNUT,1,1 TUNRDA (BACKWARDS),one hard nut. Does have a toyota truck on ani,N,Y,Approved
2DEEPNU,1,THE CAR IS TWO MUCH FOR U TO UNDERSTAND,"too deep in you, sexual connotations",N,Y,Approved
2OO6GTH,2,INTEND TO PLACE THIS PLATE ON A 2006   MUSTANG GTH,"GTH=GO TO HELL, NO 2006 CAR ON ANI",N,Y,Approved
2OO7GTH,2,I AM GOING TO PUT IT ON A 2007 MUSTANG GTH,"GTH=GO TO HELL, NO 2007 CAR ON ANI",N,Y,Approved
DMFESQ,3,MY NAME - DAVID MICHAEL FOULKES ESQUIRE   (I'M A LAWYER),"DMF=DUMB MOTHERFUCKER, BUT IT IS HIS INITIALS.",N,Y,Approved
BASAHLQ,1,BASS FISHING,basah=Indonisian and Malay word for 'wet',N,Y,Approved
BB BLUE,2,THE COLOR OF THE CAR IS BABY BLUE,BLUE=GANG COLOR,Y,N,invalid characters
BLOWNV8,1,MY CAR HAS A HIGH-PERFORMANCE V8 ENGINE.,"BLOWN, SEXUAL CONNOTATIONS",Y,N,blow
BLU SKYE,2,BLUE CONVERTIBLE CAR,BLUE=GANG COLOR,Y,N,invalid length
JET BLU,2,LOOKS FAST,BLUE=GANG COLOR,Y,N,invalid characters
KEEKEEE,1,CAT,"kiki=Tagalog, means vagina",N,Y,Approved
NTNBTWT,1,CAR COLOR,nothing but white? Twt could be twat,N,Y,Approved
OTW2FYG,1,ON THE WAY TO (2) FIX YOUR GENERATOR; BECAUSE AS A CONTRACTOR FOR THE NAVY WE CONSTANTLY GET SENT OUT TO EVERY SHIP TO REPAIR THEIR SHIPBOARD GENERATORS.,on the way to fuck your girl,N,Y,Approved
REDBIT2,2,RED COLOR RABBIT CAR,RED=GANG COLOR,Y,N,bi
SMARTAF,3,"FOR MY SMART CAR AND MY NICKNAME, TAFFY, SMUSHED TOGETHER",SMART AS FUCK,N,Y,Approved
THESY14,2,THEO ESTHER,"14=hate symbol, no 2014 car on ani",N,Y,Approved
TT O15,1,TERRIFIC TOURS 2015,"TT=PENIS IN TAGALOG. I did an ani on the company Terrific Tours and they have at least 3 plates already with similar configurations (o11, o12, and oo1)",Y,N,invalid characters
WHTWSHD,2,NICKNAME,Per Urban Dictionary: When a person who isn't white forgets their culture and acts like a white person.,N,Y,Approved
6TOOL6,1,THE 66 REPRESENTS THE YEAR I WAS BORN AND  TOOL IS A ROCK BAND,"TOOL IS A FOOL, A PENIS OR THE BAND…",N,Y,Approved
14 STFB,2,2014 SOFT TAIL FAT BOY LO,"14=hate symbol, has 2014 Harley. Harley makes a Softail Fat Boy… STFB can mean Slap that Fucking Bitch but only 24 up (1 down) on Urban Dictionary.",Y,N,invalid characters
BL STL,2,BLUE STEEL,blue=gang color,Y,N,invalid characters
SPYGIRL,5,SPY GIRL,"SPY=CIA=FEDERAL AGENT. ORDERED BY SAME CUSTOMER AS 'SPYMAN'. There is a mix of unacceptable, expired and current 'spy' plates on record…",Y,N,"[('camgirl', 90.0, 22)]"
TTYCITY,7,NO MICRO,TITTY CITY,N,Y,Approved
IDG2FX,3,NO MICRO,I DON’T GIVE 2 FUCKS,N,Y,Approved
YOJ88,2,NO MICRO,88-HITLER,N,Y,Approved
B8B88B8,2,FAVORITE LETTER AND NUMBER,88-HITLER,N,Y,Approved
CREDO18,2,SERVITE HIGH SCHOOL MOTTO,18-HITLER,N,Y,Approved
CREDO88,2,SERVITE HIGH SCHOOL MOTTO,88-HITLER,N,Y,Approved
DIUPSCM,7,DIE YUPPIE SCUM,DIE UP SCUM,N,Y,Approved
RSTONED,7,"IM A NUMBER 1 FAN OF THE ROLLING STONES BAND, OLD SCHOOL CAR NEEDS AN OLD SCHOOL LICENSE PLATE.",STONED-WEED. ROLLING STONES.,N,Y,Approved
TACO422,7,SHORT FOR TACOMA AND LUCKY NUMBER,CUSTOMER HAS A TOYOTA TACOMA,N,Y,Approved
WHTCRKN,7,MY MOBILE APP,WHITE CRACKIN… RACIAL?,N,Y,Approved
415GABE,7,IT’S THE DATE I MET MY WIFE,CA AREA CODE,N,Y,Approved
S12 88,2,MAKE AND YEAR,88-HITLER,Y,N,invalid characters
2KUULO,1,FRIENDS LAST NAME,KULO… ASS,N,Y,Approved
DOMINUS,2,NO MICRO,LATIN WORD FOR MASTER OR OWNER,N,Y,Approved
1KING FN,3,NO MICRO,FN-FUCKEN OR FUN?,Y,N,invalid length
RED TORO,7,NO MICRO,RED-GANG COLOR,Y,N,invalid length
KILRRDS,2,NO MICRO,KILL?,N,Y,Approved
YRAIZ,3,NO MICRO,YOUR ASS,N,Y,Approved
BALZINI,1,MY MAGICIAN NAME WHEN I USE TO PERFORM AS A TEENAGER,BALLS IN 1?,N,Y,Approved
LZYJ8O5,8,LAZY JASON AND MY AREA CODE,805 PASO ROBLES AREA CODE,N,Y,Approved
L8RH8RZ,2,SAYING GOODBYE,HATE?,N,Y,Approved
805QWLT,7,805 AREA CODE QUILT,805 SAN LUIS OPISBO AREA CODE,N,Y,Approved
$ OVRH8,7,LOVE OVER HATE,HATE?,Y,N,invalid characters
B8ME13,7,FISHERMAN,13-GANG NUMBER NO 2013 CAR,N,Y,Approved
BLK INDN,2,BLACK INDIAN,RACIAL?,Y,N,invalid length
BOMYUSA,7,NONE,BOMB?,N,Y,Approved
BYTME13,7,SHARK,13-GANG NUMBER,N,Y,Approved
BCHWRTR,,BEACH WRITER,3BEACH OR BITCH,N,Y,Approved
SUP BRA,1,"""SUP BRA"" IS SURFER LINGO FOR ""WHAT IS HAPPENING MAN?/HOWS IT GOING?""",BRA? WHAT HE SAYS IS TRUE,Y,N,invalid characters
OGVWRHD,7,NO MICRO,OG-ORIGINAL GANGSTER,N,Y,Approved
PIA2O15,3,NO MICRO,PIA-PAIN IN ASS. NO 2015 CAR,N,Y,Approved
RAMS FN,3,NO MICRO,FN-FAN-FUN OR FUCKEN,Y,N,invalid characters
5TENJDM,7,NO MICRO,510-BAY AREA CODE,N,Y,Approved
GR8HIGH,D,NO MICRO,,N,Y,Approved
666EVIL,7,NO MICRO,666?,Y,N,"[('devil', 88.88888888888889, 327)]"
SMOKMUP,D,NO MICRO,BURN RUBBER OR LIGHT UP A JOINT,N,Y,Approved
PSI,1,NO MICRO,PSI-PUSSY?,N,Y,Approved
TRDTUNR,2,TRD TUNER BUT SHORTENED.,TRD-WE USUALLY PULL FOR RETARD OR TURD. NO TOYOTA ON RECORD.,N,Y,Approved
WHERE TA,1,MY LAST NAME SPELLED THE WAY ITS PRONOUNCED,TA-TITS OR ASS,Y,N,invalid length
5MAGNUM,1,THE CAR IS A 2005 DODGE MAGNUM,MAGNUM CAN BE A CONDOM OR  A GUN? Has 2 CHEVYS ON RECORD,N,Y,Approved
BLUE LUV,2,DODGER BLUE I LOVE,BLUE,Y,N,invalid length
EIGHTY8,2,,88 HITLER REFERENCE,N,Y,Approved
FINFN13,2,FAVORITE FOOTBALL TEAM,13 GANG REFERENCE,N,Y,Approved
GO BLUE 7,2,UNIVERISTY OF MICHIGAN COLORS MY SPIRIT AND PRIDE,BLUE,Y,N,invalid length
KLM,2,,LOOKS LIKE KILLEM,N,Y,Approved
KLPAPAG,2,"COOL PAPA G GRANDFATHER TO FIVE, THE OLDEST FIRST NAME BEGINS WITH A K, WOULD GIVE HIM CONFIDENCE IF I USE A K OVER A C",KILL PAPA G G AS IN GANGSTER KILL,N,Y,Approved
KLYNSFX,3,KAYLYN'S FOX,LOOKS LIKE KILLING OR COULD BE CLEAN AS FUCK,N,Y,Approved
LILJO13,2,NICK NAME,13 GANG REFERENCE,N,Y,Approved
RSTNPCE,2,"I'M A HUGE FAN OF THE RED HOT CHILI PEPPERS. PLATE IS MEANT TO BE READ AS ""CALIFORNIA REST IN PEACE"" IN REFERENCE TO THEIR SONG ""DANI CALIFORNIA"".",REST IN PEACE,N,Y,Approved
VR38 510,2,THIS IS AN NISSAN ENGINE SIZE DESIGNATION.,510 AREA CODE,Y,N,invalid length
XB CRAZY,2,CRAZY ABOUT TOYOTA SCION XB,CRAZY,Y,N,invalid length
XTR88,2,EXTRA LUCKY,88 HITLER REFERENCE,N,Y,Approved
415RMDL,2,MY BUSINESS,415 AREA CODE,N,Y,Approved
42OEDDI,D,IF HAS NO MEANING I JUS WANT TO GET IT BECAUSE I LIKE IT THATS IT,420 NATIONAL SMOKE DAY 4-20 MARIJUANA,N,Y,Approved
5150SRT,2,,5150 CRAZY,Y,N,sos
LMAO240,D,,LAUGHING MY ASS OFF,N,Y,Approved
LOUDXAF,3,NAME OF MY BIKE,LOUD AS FUCK,N,Y,Approved
415VICT,2,415 IS A CAL PENAL CODE SECTION VICT IS MAKE OF MOTORCYCLE (VICTORY),415 AREA CODE,N,Y,Approved
TRU BLEU,2,"FAVORITE COLOR IS BLUE, LOVE THE OCEAN THAT'S BLUE, THE CAR IT WILL BE ATTACHED TO IS BLUE. LOVE THE COLOR BLUE",TRU BLUE,Y,N,invalid length
BALZOU7,1,M M NAME KUT,balls out,N,Y,Approved
BENT1,D,I OWN A COMAPNY NAMED BENT MOTORSPORTS,BENT CAN MEAN INTOXICATED,N,Y,Approved
BENZONA,3,LOVING OF GOD,"HEBREW COMMON CURSE WORD, MEANS 'SON OF A BITCH' OR 'WHORE'S SON'",N,Y,Approved
BLCK BST,2,BLACK BEAST FOR BLACK DODGE CHALLENGER,HAS A 2013 DODGE CP ON ANI,Y,N,invalid length
BLUE 64,2,NAME OF MY CAR ABD THE YEAR,"has 1965 Ford, pulled for blue=gang color",Y,N,invalid characters
BLU Q O3,2,BLUE CUE - 2003 - IT'S WHERE AND WHEN MY WIFE AND I FIRST   MET,blue=gang color,Y,N,invalid length
BUHSCRU,1,BUHAGIAR FAMILY,"last name is Buhagiar, pulled for screw",N,Y,Approved
CADAVRZ,2,I AM IN THE MORTUARY FIELD THIS PLATE IS NOT INTENDED TO BE OFFENSIVE TOWARD ANYBODY.. I ALREADY HAVE A PLATE WITH BODIES1 ON IT.,CADAVER=A DEAD BODY. FYI THIS IS NOT OUT WITH AN 'S',N,Y,Approved
COOK ME,2,OUR LAST NAME AND OUR FIRST I INISHELS.,"last name is Cook, first name Michael. Looks like ""cook me""  ??",Y,N,invalid characters
HAULR SS,3,CAR IS AN EL CAMINO THAT HAULS STUFF & IS AN SS MODEL.,has Chevy p/u on ani. Could be read as ASS,Y,N,invalid length
HLLMNKE,"3, 1",HELLMONKIE ITS MY CHILDS NICKNAME,pulled for hell and monkey=pussy,N,Y,Approved
H2OBALN,1 or 2,WATER POLO,"water or wet, balling",N,Y,Approved
ICUHA8N,2,I SEE U LOOKING,HATE,N,Y,Approved
KFU PNDA,3,KUNG FU PANDA,PULLED FOR FU=EFF YOU,Y,N,invalid length
LMFX911,3,INITIALS CAR MODEL,PULLED FOR MF.  NAME IS LARRY M FEDER. HAS PORSCHE,N,Y,Approved
MK4VW18,2,MARK 4 VW 1.8T,"18=hate symbol, HAS VW",N,Y,Approved
MOKOSO,3,MY SONS NICKNAME,"(SPANISH)MOCOS=SNOT, BOOGERS. MOCOSO=A SNOTTY, RUNNY-NOSED KID",N,Y,Approved
NCC1969,1,STAR TREK NAVIGATIONAL CONTACT CODE PLUS MY BIRTH YEAR,"no 1969 car, it is his birth year. 69 can have sexual connotations",N,Y,Approved
OUTBALZ,1,LAST NAME OUT OF TIME,"BALLS, CUSTOMER LAST NAME IS WOODS",N,Y,Approved
PLATITA,D,LITTLE SILVER ONE,PROZ.COM found a Spanish slang translation saying 'platita' is slang for heroin. Couldn’t find it translated anywhere else though,Y,N,contains the restricted letter combinationTIT
PLAY666,4,ENCOURAGE ME TO PLAY MORE,666,Y,N,contains the restricted letter combinationLAY
RD DRGN1,2,RED DRAGON 1,"RED, GANG COLOR",Y,N,invalid length
RED13,,WIFES COLOR OF HAIR AND FAVORITE NUMBER,"RED, GANG COLOR. ALSO 13, HAS A 2013 AND 2014 CAR.",Y,N,contains the restricted letter combinationDIE
R18J21A,2,MY INITIAL MY BIRTHDAY MY DAUGHTERS INITIAL MY WIFES BIRTHDAY MY WIFES INITIAL,18=hate symbol,N,Y,Approved
SLMMRD,D,SLAMMED. AS IN VEHICLE IS REALLY LOW.,"SLAMMERED, URBAN DICTIONARY SAYS IT MEANS ""SO DAMN DRUNK…SLAMMED+HAMMERED""",N,Y,Approved
SPIDR18,2,"CHILDHOOD NICKNAME, LUCK NUMBER",18=hate symbol,N,Y,Approved
SSCRUDE,1,SUPER SPORT BLACK OIL,SCREWED,N,Y,Approved
TALONG8,1,EGG PLANT FOREVER,means eggplant in Filipino dialect. Eggplant can be slang for penis,N,Y,Approved
TERMN8D,2,TERMINATOR IS THE CODE NAME USED FOR THE 2003-04 FORD COBRA BUILT BY THE SVT DEVELOPMENT CREW. TERMN8R IS TAKEN SO TERMN8D IS CLOSE ENOUGH FOR ME,"terminate=kill, no ford on ani. TERMN8R is expired in 1998 and surr/cancel in 2013",N,Y,Approved
YGRT ETR,1,YOGURT EATER,EAT,Y,N,invalid length
1 GTI 4,2,2014 GTI,"14=HATE SYMBOL, BUT HAS 2014 VW",Y,N,invalid characters
1LRG CAT,1,1 LARGE CAT,"CAT=PUSSY, BUT HAS A JAGUAR ON ANI",Y,N,invalid length
13VDR14,2,"FATHER AND DAUGHTER BIRTHDAY, VADER AND YEAR DAUGHTER WAS BORN. YEAR OF  CAR AS WELL","13=GANG, 14=HATE SYMBOL. NO CARS ON ANI",N,Y,Approved
14DGIPR,2,"WIN ONE FOR THE GIPPER, MOVIE/SPORTS REFERENCE","14=HATE SYMBOL , NO 2014 CAR",N,Y,Approved
